id,nome,marca,imaxe,categoria,precio,desconto,granel,descripcion
1,Gamba Pelada Mediana 70/88,IFA ELIGES,https://congeladosnicholas.com/wp-content/uploads/2019/11/CX357-500x380.jpg,Conxelados,4.15,0,false,360 g PN. (11.53€ Kilo)
2,Vieira Pacífico Concha Extra Grande,NOVAS Y MAR,https://www.lasirena.es/37725-thickbox_default/vieiras-pacifico-media-concha.jpg,Conxelados,8.99,0,false,10 uds. (0.90€ Unidade)
3,Buñuelos de Bacalao,PESCANOVA,https://www.maheso.com/wp-content/uploads/congelados-maheso-bunuelos-bacalao-302.jpg,Conxelados,2.59,0,false,300 g (8.63€ Kilo)
4,Vieira del Pacífico Media Concha,NOVAS Y MAR,https://www.lasirena.es/img/p/3/8/3/5/1/38351.jpg,Conxelados,6.49,0,false,12 uds. (0.54€ Unidad)
5,Anilla Pota Congelada,IFA ELIGES,https://lh3.googleusercontent.com/proxy/3JsXlkouigMVh1OiOqlUGoj5iMmuzjpEJxngybZEgro9X_cnxX98RrZ5cXqVO3rdocIKFzWeR22Gr90hFLiwRZSHnHXSrlCb66xxuVlOgFbWRLyPBuCSIkNW8kFMcA,Conxelados,3.29,0,false,400 g (8.23€ Kilo)
6,Chipiron Patagonico Extra,gadis,https://i.ibb.co/xCfVLjj/chipiron.png,Peixaria,5.9,0,false,Precio por kilo
7,Langostino Crudo y Cocido Grande 30/40,gadis,https://i.ibb.co/VVjyP27/langostinos.png,Peixaria,8.9,0,false,Precio por kilo
8,Lomos de Bacalao Desalado,gadis,https://i.ibb.co/WkZ6439/bacalao.png,Peixaria,12.9,0,false,Precio por kilo
9,Lubina Acuicultura,gadis,https://i.ibb.co/5spyBVy/lubina.png,Peixaria,7.75,0,false,Precio por kilo
10,Ternera para Asar sin Hueso,gadis,https://i.ibb.co/xXgbhqq/ternera.png,Carnizaria,7.99,0.1,false,Precio por kilo
11,Falda de Ternera con Hueso,gadis,https://www.latiendadelpueblo.es/ficheros/productos/falda%20de%20ternera.jpg,Carnizaria,7.25,0,false,Precio por kilo
12,Burger Meat Estilo Casero,gadis,https://www.losreplicantes.com/images/articulos/16000/16665/s5.jpg,Carnizaria,6.85,0,false,Precio por kilo
13,Filetes de Cerdo,gadis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIOHmSa-lU8ATz9KKMuKsLXYzZdXwBqzw0eQ&usqp=CAU,Carnizaria,4.45,0,false,Precio por kilo
14,Traseros de Pollo,gadis,https://www.supermercadoseljamon.com/documents/10180/892067/93006038_G.jpg,Carnizaria,2.15,0,false,Precio por kilo
